name,src,create_company,report_company,prov,year,price
人用狂犬病疫苗(Vero细胞),国产,长春长生生物科技有限公司,长春长生生物科技有限公司,甘肃省,2017,61
人用狂犬病疫苗(Vero细胞),国产,吉林迈丰生物药业有限公司,吉林迈丰生物药业有限公司,甘肃省,2017,49
人用狂犬病疫苗(CVero细胞)(4针次),国产,吉林迈丰生物药业有限公司,吉林迈丰生物药业有限公司,甘肃省,2017,57
人用狂犬病疫苗(CVero细胞)(4针次),国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,甘肃省,2017,47
人用狂犬病疫苗(人二倍体细胞),国产,成都康华生物制品有限公司,成都康华生物制品有限公司,甘肃省,2017,255
人用狂犬病疫苗(鸡胚细胞),进口,科园信海(北京)医疗用品贸易有限公司,科园信海(北京)医疗用品贸易有限公司,甘肃省,2017,197
吸附无细胞百白破灭活脊髓灰质炎和b型流感噜血杆菌（结合）联合疫苗,进口,国药控股股份有限公司,国药控股股份有限公司,甘肃省,2017,599
吸附无细胞百白破灭活脊髓灰质炎和b型流感噜血杆菌（结合）联合疫苗,国产,国药控股股份有限公司,国药控股股份有限公司,甘肃省,2017,599
水痘减毒活疫苗,国产,长春祈健生物制品有限公司,长春祈健生物制品有限公司,甘肃省,2017,136
水痘减毒活疫苗,国产,长春长生生物科技有限责任公司,长春长生生物科技有限责任公司,甘肃省,2017,140
甲型肝炎减毒活疫苗,国产,长春生物制品研究所有限责任公司,长春生物制品研究所有限责任公司,甘肃省,2017,55
甲型肝炎灭活疫苗(人二倍体细胞)(儿童剂型),进口,重庆智飞生物制品股份有限公司,重庆智飞生物制品股份有限公司,甘肃省,2017,200
重组乙型肝炎疫荒(CHO细胞)（10μg）,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,甘肃省,2017,60
重组乙型肝炎疫荒(CHO细胞)（10μg）,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,甘肃省,2017,70
重组乙型肝炎疫荒(CHO细胞)（20μg）,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,甘肃省,2017,88
重组乙型肝炎疫荒(CHO细胞)（20μg）,国产,华北制药金坦生物技术股份有限公司,华北制药金坦生物技术股份有限公司,甘肃省,2017,80
重组乙型肝炎疫苗(汉逊酶母)（10μg）,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,甘肃省,2017,41
重组乙型肝炎疫苗(汉逊酶母)（10μg）,国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,甘肃省,2017,14
重组乙型肝炎疫苗(汉逊酶母)（20μg）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,甘肃省,2017,84
重组乙型肝炎疫苗(汉逊酶母)（20μg）,国产,大连汉信生物制药有限公司,大连汉信生物制药有限公司,甘肃省,2017,70
重组乙型肝炎疫苗(酿酒酵母)（10μg）,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,甘肃省,2017,42
重组乙型肝炎疫苗(酿酒酵母)（20μg）,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,甘肃省,2017,65
重组乙型肝炎疫苗(酿酒酵母)（20μg）,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,甘肃省,2017,25
重组乙型肝炎疫苗(酿酒酵母)（60μg）,国产,深圳康泰生物制品股份有限公司,深圳康泰生物制品股份有限公司,甘肃省,2017,220
重组乙型肝炎疫苗(酿酒酵母)（20μg）,进口,上海葛兰素史克生物制品有限公司,上海葛兰素史克生物制品有限公司,甘肃省,2017,88
重组乙型肝炎疫苗(汉逊酶母)（10μg）,进口,上海葛兰素史克生物制品有限公司,上海葛兰素史克生物制品有限公司,甘肃省,2017,70
重组乙型肝炎疫苗(汉逊酶母)（20μg）,进口,上海葛兰素史克生物制品有限公司,上海葛兰素史克生物制品有限公司,甘肃省,2017,78
伤寒vi多糖疫苗,国产,武汉生物制品研究所有限责任公司,武汉生物制品研究所有限责任公司,甘肃省,2017,70
重组B亚单位/菌体霍乱疫苗(肠溶胶囊),国产,上海联合赛尔生物工程有限公司,上海联合赛尔生物工程有限公司,甘肃省,2017,65
重组B亚单位/菌体霍乱疫苗(肠溶胶囊)(儿童用),国产,上海联合赛尔生物工程有限公司,上海联合赛尔生物工程有限公司,甘肃省,2017,83
A群C群脑膜炎球菌多糖结合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,甘肃省,2017,71
b型流感嘻血杆菌结合疫苗,国产,兰州生物制品研究所有限责任公司,兰州生物制品研究所有限责任公司,甘肃省,2017,65
b型流感嘻血杆菌结合疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,甘肃省,2017,80
b型流感嘻血杆菌结合疫苗,进口,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,甘肃省,2017,103
吸附破伤风疫苗,国产,成都欧林生物科技股份有限公司,成都欧林生物科技股份有限公司,甘肃省,2017,158
黄热准毒活疫苗,国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,甘肃省,2017,160
乙型脑炎减毒活疫苗,国产,武汉生物制品研究所有限责任公司,武汉生物制品研究所有限责任公司,甘肃省,2017,37
乙型脑炎灭活疫苗(Vero细胞),国产,辽宁成大生物股份有限公司,辽宁成大生物股份有限公司,甘肃省,2017,69
森林脑炎灭活疫苗,国产,长春长生制品研究所有限责任公司,长春长生制品研究所有限责任公司,甘肃省,2017,168
双价肾综合征出血热灭活疫苗(Vero细胞),国产,浙江卫信生物药业有限公司,浙江卫信生物药业有限公司,甘肃省,2017,20
麻疹腭腺炎联合减毒活疫苗,国产,上海生物制品有限责任公司,上海生物制品有限责任公司,甘肃省,2017,68
麻疹风疹联合减毒活疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,甘肃省,2017,42
麻腮风联合减毒活疫苗,国产,北京北生研生物制品有限公司,北京北生研生物制品有限公司,甘肃省,2017,76
流感病毒裂解疫苗(成人),国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,甘肃省,2017,28
流感病毒裂解疫苗(成人),国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,甘肃省,2017,31.8
流感病毒裂解疫苗(儿童),国产,华兰生物疫苗有限公司,华兰生物疫苗有限公司,甘肃省,2017,17.5
流感病毒裂解疫苗(特殊人群),国产,深圳赛诺菲巴斯德生物制品有限公司,深圳赛诺菲巴斯德生物制品有限公司,甘肃省,2017,45
流感病毒亚单位疫苗,国产,中逸安科生物技术股份有限公司,中逸安科生物技术股份有限公司,甘肃省,2017,168
AC群脑膜炎球菌(结合)b型流感嗜血杆菌(结合)联合疫苗,国产,北京智飞绿竹生物制药有限公司,北京智飞绿竹生物制药有限公司,甘肃省,2017,215
b型流感嗜血杆菌(结合)和吸附无细胞百白破联合疫苗,国产,北京民海生物科技有限公司,北京民海生物科技有限公司,甘肃省,2017,275
23价肺炎球菌多糖疫苗,国产,成都生物制品有限责任公司,成都生物制品有限责任公司,甘肃省,2017,182
23价肺炎球菌多糖疫苗,国产,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,甘肃省,2017,200
23价肺炎球菌多糖疫苗,进口,重庆智飞生物制品股份有限公司,重庆智飞生物制品股份有限公司,甘肃省,2017,200
口服轮状病毒活疫苗,国产,兰州生物制品研究所有限责任公司,兰州生物制品研究所有限责任公司,甘肃省,2017,172
肠道病毒71型灭活疫苗(人二倍体细胞),国产,中国医学科学院医学生物研究所,中国医学科学院医学生物研究所,甘肃省,2017,168
肠道病毒71型灭活疫苗(人二倍体细胞),国产,中国医学科学院医学生物研究所,中国医学科学院医学生物研究所,甘肃省,2017,188
肠道病毒71型灭活疫苗(Vero细胞),国产,武汉生物制品研究所有限责任公司,武汉生物制品研究所有限责任公司,甘肃省,2017,168
13价肺炎球菌多糠结合疫苗,进口,科园信海(北京)医疗用品贸易有限公司,科园信海(北京)医疗用品贸易有限公司,甘肃省,2017,698